model_key,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,epochs_trained_mean,seeds
tcn,0.9384057971014492,0.016603535126651612,0.9063881533784447,0.050716479292456984,28.333333333333332,3
gaf_cnn,0.9456521739130436,0.010869565217391283,0.9147694606238103,0.0166864228973673,21.333333333333332,3
dual_concat,0.9565217391304349,0.0,0.9344297252574426,0.018466773591654082,21.666666666666668,3
dual_attention,0.9818840579710145,0.01660353512665164,0.9662293120955066,0.03129958270107152,33.666666666666664,3
