feature,branch,mean_abs_group_shap,mean_signed_group_shap,std_signed_group_shap
Temporal Strain,Temporal branch,1.5428417921066284,1.3837476968765259,1.4452811479568481
Temporal Load,Temporal branch,1.1710219383239746,1.1699999570846558,0.9210637807846069
Temporal Vibration,Temporal branch,0.941787600517273,0.4981880784034729,1.0915758609771729
GAF Load,GAF-CNN branch,0.5356555581092834,0.33689120411872864,0.768702507019043
GAF Vibration,GAF-CNN branch,0.40368059277534485,0.26252374053001404,0.49486324191093445
GAF Strain,GAF-CNN branch,0.33182448148727417,0.21372565627098083,0.3745749890804291
