,precision,recall,f1-score,support
Normal,0.9814814814814815,0.9636363636363636,0.9724770642201835,55.0
Transition,0.8,0.8888888888888888,0.8421052631578947,9.0
Anomaly,1.0,1.0,1.0,28.0
accuracy,0.967391304347826,0.967391304347826,0.967391304347826,0.967391304347826
macro avg,0.9271604938271606,0.9508417508417507,0.9381941091260261,92.0
weighted avg,0.9693639291465379,0.967391304347826,0.9680998467449038,92.0
