epoch,loss,train_acc,train_macro_f1,val_acc,val_macro_f1,is_best
1,0.7162055993080139,0.535,0.5078092516884595,0.47619047619047616,0.4131054131054131,True
2,0.5482207953929901,0.8375,0.8505055224894903,0.8214285714285714,0.8610843141038008,True
3,0.4627808153629303,0.7925,0.7692042834874865,0.7023809523809523,0.6936533214819205,False
4,0.2787356448173523,0.9375,0.9484218821284891,0.8809523809523809,0.8888888888888888,True
5,0.26734099447727205,0.7975,0.8416588697687462,0.75,0.7606677099634847,False
6,0.21022044956684113,0.8625,0.8708214386768534,0.75,0.7027174858904552,False
7,0.159639732837677,0.945,0.9561817461664687,0.8690476190476191,0.8793356848912404,False
8,0.16957839608192443,0.835,0.8743142792222547,0.7976190476190477,0.8338076015264818,False
9,0.14017416745424272,0.88,0.9072188725247933,0.8214285714285714,0.8345098039215687,False
10,0.093310556858778,0.935,0.948607367475292,0.8571428571428571,0.8623809523809524,False
11,0.09574239209294319,0.99,0.9918154761904763,0.9642857142857143,0.9621725563754548,True
12,0.06065310478210449,0.9775,0.9819510319189847,0.9166666666666666,0.9251367320614858,False
13,0.07179719753563404,0.92,0.8929744176603048,0.8452380952380952,0.8199134199134198,False
14,0.09672656774520874,0.98,0.9837375837375837,0.8809523809523809,0.888095238095238,False
15,0.09569452337920666,0.9275,0.943258153722155,0.9404761904761905,0.9436771810173346,False
16,0.12323256194591523,0.9925,0.9939301449350335,0.9880952380952381,0.9817619280247517,True
17,0.05152216739952564,0.965,0.9718016502443323,0.9166666666666666,0.9167873680514407,False
18,0.045367070883512495,0.9875,0.9899141846105358,0.9761904761904762,0.9720835355846797,False
19,0.029574175607413055,0.975,0.979973829436195,0.9404761904761905,0.9436771810173346,False
20,0.022688443334773184,0.995,0.9959343959343959,0.9761904761904762,0.9720835355846797,False
21,0.030481282956898212,0.99,0.9919191919191919,0.9404761904761905,0.9436771810173346,False
22,0.02292529635131359,0.995,0.9959343959343959,0.9404761904761905,0.9356652265425945,False
23,0.026947501907125117,0.995,0.9959471751119708,0.9642857142857143,0.9625187406296852,False
24,0.011128006000071765,0.995,0.9959471751119708,0.9404761904761905,0.9436771810173346,False
25,0.013065114095807075,1.0,1.0,0.9761904761904762,0.9646464646464646,False
26,0.02073159208521247,0.9975,0.9979704153441213,0.9404761904761905,0.9436771810173346,False
27,0.053689880073070524,0.985,0.9878031878031878,0.9880952380952381,0.9817619280247517,False
28,0.03413941975682974,0.9525,0.9623038183729431,0.8928571428571429,0.9068035426731079,False
29,0.015993853518739342,0.9975,0.9979704153441213,0.9285714285714286,0.9261904761904761,False
30,0.04166027587838471,0.9975,0.9979704153441213,0.9761904761904762,0.9646464646464646,False
31,0.01674923620186746,0.9975,0.9979639350425868,0.9761904761904762,0.9646464646464646,False
